Elem_0,Elem_1,Elem_2,Elem_3,Elem_4,Elem_5,Elem_6,Elem_7,Elem_8,Elem_9
163.10206685480938,156.84618415200734,135.5807758486734,149.2907112622962,166.08474535038226,167.47947012368743,148.34417107668176,128.26352485329537,117.13603108779165,113.48012798264844
164.20885983920212,156.4129138552845,134.31770501380757,147.29824661833578,165.43560284565444,167.4501538318737,147.19969806435296,127.71793060294654,117.74779971763182,114.75585400509419
165.27289859985297,156.43530159511,133.03044207579276,145.12407444404414,164.81332910237037,167.35505130284284,146.47959506920546,127.59685292651838,118.5947027049207,116.2259563506111
166.2738204999771,156.47827969632002,132.33118829487896,142.89685263916212,164.1393216579261,167.21146808129015,146.30484517882218,127.90803032507102,119.65809329352447,117.63308609740923
167.1914563563841,156.3336928526256,132.29644385132067,141.1067951071882,163.3508933969281,167.20315786710987,146.4741637575087,128.7837789708927,120.82636707475636,118.89201357248967
168.0064295842056,156.1099183621916,132.52728938947317,140.2636038803721,162.4698843379921,167.50548443374672,146.95640153829072,130.09851599740873,122.11878339218967,119.97387618536433
168.7008050006354,155.91250760127934,132.9265001762671,140.2748815702592,161.69054042729465,168.10788485787936,148.0891421511429,131.50626335672374,123.57472792489631,121.01811093913629
169.25875158365096,155.75317784996506,133.78684235727596,140.6214746381391,161.1933943241133,168.82404757011406,150.13934871308132,132.94850526061984,125.00240036399259,122.36442853388832
169.66717604275095,155.7777750651352,135.1248472940019,141.1189829318907,160.82482513560132,169.4349253229555,152.94914664373735,134.7486409324856,126.24690630221491,124.11958605376239
169.9162805856904,156.21130292758065,136.71048491169256,141.87912340902042,160.26465900087962,169.83252698133748,156.05955854021866,137.20376687314806,127.55929473032967,125.73540710354183
170.0,157.07598534872568,138.68656549727277,142.65892974171973,159.48170748649756,169.9981433091266,158.98319676754375,140.37814899910697,129.41275993552955,126.64315706199882
169.9162805856904,158.29708758139472,141.2633963340736,143.1967977002196,158.51994453916117,169.87789844950365,161.60479729825113,144.11692500216574,131.8798187243917,127.24213732348242
169.66717604275095,159.85895833305895,144.27282682574588,143.6758201866138,157.2134020806088,169.4656360004393,164.09959347495106,148.06146765198494,134.72275901500723,128.7041697645162
169.25875158365096,161.6747933354095,147.52872258697965,144.24473095017342,155.66676629884464,168.7408621371583,166.3905083597362,151.83838628248074,137.9013339428522,131.78972534974332
168.7008050006354,163.54858449254758,150.98814526690987,144.92920046236011,154.20781096485777,167.4908427628097,168.1828781884329,155.27955761095635,141.71065490208264,136.34766245675831
168.0064295842056,165.28040667172988,154.55934313873092,145.98985922833364,152.76185317264932,165.57766934123316,169.36077300465894,158.43187580548508,146.40190810194773,141.7605849748777
167.1914563563841,166.73114360086214,158.1539665953695,147.60312069740286,151.08958338730716,163.20324603930572,169.93531715323036,161.58386142047203,151.63480965174543,147.63826971389852
166.2738204999771,167.8602615488132,161.68398135226207,149.51040539359704,149.37617177372852,160.70560710734802,169.90916279595353,164.83431130733163,156.825385055582,153.8060050543623
165.27289859985297,168.74126203150308,164.80437903050807,151.37386158169826,148.18215798273442,158.30033481913947,169.17417403207025,167.6855281418195,161.74370261097857,159.54928575134133
164.20885983920212,169.43653817825984,167.09749770546415,153.23812805992284,147.8851916141234,156.04449640505823,167.49607702422043,169.5483472135036,166.04908858267598,164.2245234866156
163.10206685480938,169.87496881211337,168.57950984232622,155.32523251930857,148.44214789032029,153.92114281078597,164.77771739358317,169.91895437170254,168.98127224960524,167.78138986960604
161.97255218849364,169.9999679155383,169.53598505067038,157.6526475612314,149.55654139264308,152.00474965034547,161.09516526060185,168.24786813855826,169.9989885791984,169.79345157171386
160.83958583045705,169.92551749300617,169.98825114021986,160.20238574327624,150.8569535191589,150.36538489655075,156.6053457425045,164.4280002603277,168.66431585067406,169.56765062355257
159.72133960888056,169.78288673229363,169.75370319308155,162.94042034192682,152.22181763647333,148.7825244301549,151.74463245742947,158.82544095069503,164.54460588188445,166.63490643090373
158.6346460730054,169.5838642817806,168.8645142853092,165.5783549655389,153.78246264913204,146.98123453052855,147.0095891087258,151.9232543578059,157.7524383888314,160.54875777249168
157.5948435080748,169.2739496210621,167.48771170222517,167.67566315533716,155.5644995031153,145.21351237329804,142.3001974026835,144.48142721532412,148.8727013211514,151.39023606885803
